Num	Source	Distance	LR	ppmm	LR_target
1	Valve	15	0	32	0
1	Valve	15	0	23	0
1	Valve	15	0	68	0
1	Valve	15	0	93	0
1	Valve	15	0	96	0
1	Valve	15	0	54	0
1	Valve	15	0	69	0
1	Valve	15	0	79	0
1	Valve	15	0	50	0
1	Valve	15	0	131	0
1	Valve	15	0	55	0
1	Valve	15	0	17	0
1	Valve	15	0	111	0
1	Valve	15	0	54	0
1	Valve	15	0	112	0
1	Valve	15	0	45	0
1	Valve	15	0	69	0
1	Valve	15	0	41	0
1	Valve	15	0	53	0
1	Valve	15	0	127	0
1	Valve	15	0	61	0
1	Valve	15	0	40	0
1	Valve	15	0	29	0
1	Valve	15	0	31	0
1	Valve	15	0	81	0
1	Valve	15	0	13	0
1	Valve	15	0	65	0
1	Valve	15	0	15	0
1	Valve	15	0	10	0
1	Valve	15	0	13	0
1	Valve	15	0	18	0
1	Valve	15	0	88	0
1	Valve	15	0	34	0
1	Valve	15	0	16	0
1	Valve	15	0	65	0
1	Valve	15	0	121	0
1	Valve	15	0	59	0
1	Valve	15	0	94	0
1	Valve	15	0	21	0
1	Valve	15	0	93	0
1	Valve	15	0	42	0
1	Valve	15	0	47	0
1	Valve	15	0	23	0
1	Valve	15	0	7	0
1	Valve	15	0	40	0
1	Valve	15	0	32	0
1	Valve	15	0	36	0
1	Valve	15	0	136	0
1	Valve	15	0	91	0
1	Valve	15	0	69	0
1	Valve	15	0	88	0
1	Valve	15	0	47	0
1	Valve	15	0	80	0
1	Valve	15	0	63	0
1	Valve	15	0	36	0
1	Valve	15	0	60	0
1	Valve	15	0	14	0
1	Valve	15	0	66	0
1	Valve	15	0	39	0
1	Valve	15	0	23	0
1	Valve	15	0	82	0
1	Valve	15	0	77	0
1	Valve	15	0	54	0
1	Valve	15	0	90	0
1	Valve	15	0	35	0
1	Valve	15	0	101	0
1	Valve	15	0	69	0
1	Valve	15	0	50	0
1	Valve	15	0	15	0
1	Valve	15	0	5	0
1	Valve	15	0	49	0
1	Valve	15	0	21	0
1	Valve	15	0	79	0
1	Valve	15	0	73	0
1	Valve	15	0	69	0
1	Valve	15	0	25	0
1	Valve	15	0	1	0
1	Valve	15	0	153	0
1	Valve	15	0	127	0
1	Valve	15	0	165	0
1	Valve	15	0	65	0
1	Valve	15	0	72	0
1	Valve	15	0	99	0
1	Valve	15	0	117	0
1	Valve	15	0	46	0
1	Valve	15	0	90	0
1	Valve	15	0	97	0
1	Valve	15	0	58	0
1	Valve	15	0	7	0
1	Valve	15	0	2	0
1	Valve	15	0	17	0
1	Valve	15	0	50	0
1	Valve	15	0	51	0
1	Valve	15	0	59	0
1	Valve	15	0	3	0
1	Valve	15	0	43	0
1	Valve	15	0	31	0
1	Valve	15	0	38	0
1	Valve	15	0	104	0
1	Valve	15	0	26	0
1	Valve	15	0	0	0
1	Valve	15	0	61	0
1	Valve	15	0	80	0
1	Valve	15	0	119	0
1	Valve	15	0	20	0
1	Valve	15	0	176	0
1	Valve	15	0	112	0
1	Valve	15	0	123	0
1	Valve	15	0	28	0
1	Valve	15	0	96	0
1	Valve	15	0	61	0
1	Valve	15	0	30	0
1	Valve	15	0	11	0
1	Valve	15	0	11	0
1	Valve	15	0	30	0
1	Valve	15	0	124	0
1	Valve	15	0	61	0
1	Valve	15	0	32	0
1	Valve	15	0	21	0
1	Valve	15	0	5	0
1	Valve	15	0	1	0
2	Valve	10	3,8	62	3
2	Valve	10	3,8	113	3
2	Valve	10	3,8	82	3
2	Valve	10	3,8	119	3
2	Valve	10	3,8	110	3
2	Valve	10	3,8	87	3
2	Valve	10	3,8	43	3
2	Valve	10	3,8	41	3
2	Valve	10	3,8	66	3
2	Valve	10	3,8	57	3
2	Valve	10	3,8	41	3
2	Valve	10	3,8	20	3
2	Valve	10	3,8	47	3
2	Valve	10	3,8	54	3
2	Valve	10	3,8	63	3
2	Valve	10	3,8	53	3
2	Valve	10	3,8	53	3
2	Valve	10	3,8	18	3
2	Valve	10	3,8	1	3
2	Valve	10	3,8	3	3
2	Valve	10	3,8	86	3
2	Valve	10	3,8	93	3
2	Valve	10	3,8	87	3
2	Valve	10	3,8	55	3
2	Valve	10	3,8	52	3
2	Valve	10	3,8	43	3
2	Valve	10	3,8	72	3
2	Valve	10	3,8	50	3
2	Valve	10	3,8	40	3
2	Valve	10	3,8	55	3
