Num	Source	Distance	LR	ppmm	LR_target
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	2.0	0
1	flange	2	0	23.0	0
1	flange	2	0	18.0	0
1	flange	2	0	29.0	0
1	flange	2	0	20.0	0
1	flange	2	0	22.0	0
1	flange	2	0	31.0	0
1	flange	2	0	24.0	0
1	flange	2	0	10.0	0
1	flange	2	0	31.0	0
1	flange	2	0	16.0	0
1	flange	2	0	31.0	0
1	flange	2	0	29.0	0
1	flange	2	0	19.0	0
1	flange	2	0	16.0	0
1	flange	2	0	22.0	0
1	flange	2	0	19.0	0
1	flange	2	0	31.0	0
1	flange	2	0	47.0	0
1	flange	2	0	34.0	0
1	flange	2	0	0.0	0
1	flange	2	0	0.0	0
1	flange	2	0	11.0	0
1	flange	2	0	1.0	0
1	flange	2	0	10.0	0
1	flange	2	0	1.0	0
1	flange	2	0	30.0	0
1	flange	2	0	28.0	0
1	flange	2	0	34.0	0
1	flange	2	0	17.0	0
1	flange	2	0	41.0	0
1	flange	2	0	30.0	0
1	flange	2	0	1.0	0
1	flange	2	0	12.0	0
1	flange	2	0	32.0	0
1	flange	2	0	13.0	0
1	flange	2	0	16.0	0
1	flange	2	0	75.0	0
1	flange	2	0	27.0	0
1	flange	2	0	26.0	0
1	flange	2	0	46.0	0
1	flange	2	0	45.0	0
1	flange	2	0	6.0	0
1	flange	2	0	26.0	0
1	flange	2	0	29.0	0
1	flange	2	0	27.0	0
1	flange	2	0	660.0	0
1	flange	2	0	21.0	0
1	flange	2	0	35.0	0
1	flange	2	0	22.0	0
1	flange	2	0	5.0	0
1	flange	2	0	30.0	0
1	flange	2	0	17.0	0
1	flange	2	0	25.0	0
1	flange	2	0	10.0	0
1	flange	2	0	22.0	0
1	flange	2	0	24.0	0
1	flange	2	0	32.0	0
1	flange	2	0	36.0	0
1	flange	2	0	27.0	0
1	flange	2	0	25.0	0
1	flange	2	0	23.0	0
1	flange	2	0	24.0	0
1	flange	2	0	14.0	0
1	flange	2	0	34.0	0
1	flange	2	0	23.0	0
1	flange	2	0	10.0	0
1	flange	2	0	8.0	0
1	flange	2	0	17.0	0
1	flange	2	0	10.0	0
1	flange	2	0	26.0	0
1	flange	2	0	14.0	0
1	flange	2	0	31.0	0
1	flange	2	0	24.0	0
1	flange	2	0	26.0	0
1	flange	2	0	28.0	0
1	flange	2	0	31.0	0
1	flange	2	0	21.0	0
1	flange	2	0	21.0	0
2	flange	4	0	8.0	0
2	flange	4	0	45.0	0
2	flange	4	0	10.0	0
2	flange	4	0	2.0	0
2	flange	4	0	31.0	0
2	flange	4	0	38.0	0
2	flange	4	0	7.0	0
2	flange	4	0	17.0	0
2	flange	4	0	0.0	0
2	flange	4	0	51.0	0
2	flange	4	0	17.0	0
2	flange	4	0	16.0	0
2	flange	4	0	4.0	0
2	flange	4	0	1.0	0
2	flange	4	0	20.0	0
2	flange	4	0	2.0	0
2	flange	4	0	34.0	0
2	flange	4	0	20.0	0
2	flange	4	0	17.0	0
2	flange	4	0	35.0	0
2	flange	4	0	3.0	0
2	flange	4	0	6.0	0
2	flange	4	0	19.0	0
2	flange	4	0	29.0	0
2	flange	4	0	72.0	0
2	flange	4	0	46.0	0
2	flange	4	0	33.0	0
2	flange	4	0	17.0	0
2	flange	4	0	37.0	0
2	flange	4	0	24.0	0
2	flange	4	0	7.0	0
2	flange	4	0	15.0	0
2	flange	4	0	15.0	0
2	flange	4	0	43.0	0
2	flange	4	0	25.0	0
2	flange	4	0	23.0	0
2	flange	4	0	12.0	0
2	flange	4	0	1.0	0
2	flange	4	0	26.0	0
2	flange	4	0	11.0	0
2	flange	4	0	0.0	0
2	flange	4	0	7.0	0
2	flange	4	0	33.0	0
2	flange	4	0	63.0	0
2	flange	4	0	24.0	0
2	flange	4	0	14.0	0
2	flange	4	0	3.0	0
2	flange	4	0	15.0	0
2	flange	4	0	3.0	0
2	flange	4	0	1.0	0
2	flange	4	0	32.0	0
2	flange	4	0	32.0	0
2	flange	4	0	18.0	0
2	flange	4	0	35.0	0
2	flange	4	0	23.0	0
2	flange	4	0	1.0	0
2	flange	4	0	13.0	0
2	flange	4	0	2.0	0
2	flange	4	0	13.0	0
2	flange	4	0	13.0	0
2	flange	4	0	14.0	0
2	flange	4	0	9.0	0
2	flange	4	0	14.0	0
2	flange	4	0	22.0	0
2	flange	4	0	12.0	0
2	flange	4	0	16.0	0
2	flange	4	0	14.0	0
2	flange	4	0	5.0	0
2	flange	4	0	2.0	0
2	flange	4	0	5.0	0
2	flange	4	0	16.0	0
2	flange	4	0	6.0	0
2	flange	4	0	2.0	0
2	flange	4	0	6.0	0
2	flange	4	0	3.0	0
2	flange	4	0	0.0	0
2	flange	4	0	3.0	0
2	flange	4	0	11.0	0
2	flange	4	0	14.0	0
2	flange	4	0	8.0	0
2	flange	4	0	2.0	0
2	flange	4	0	12.0	0
2	flange	4	0	4.0	0
2	flange	4	0	14.0	0
2	flange	4	0	16.0	0
2	flange	4	0	14.0	0
2	flange	4	0	16.0	0
2	flange	4	0	17.0	0
2	flange	4	0	17.0	0
2	flange	4	0	10.0	0
2	flange	4	0	2.0	0
2	flange	4	0	35.0	0
2	flange	4	0	14.0	0
2	flange	4	0	5.0	0
2	flange	4	0	8.0	0
2	flange	4	0	12.0	0
2	flange	4	0	11.0	0
2	flange	4	0	1.0	0
2	flange	4	0	12.0	0
2	flange	4	0	13.0	0
2	flange	4	0	23.0	0
2	flange	4	0	27.0	0
2	flange	4	0	6.0	0
2	flange	4	0	11.0	0
2	flange	4	0	16.0	0
2	flange	4	0	18.0	0
2	flange	4	0	10.0	0
2	flange	4	0	9.0	0
2	flange	4	0	0.0	0
2	flange	4	0	1.0	0
2	flange	4	0	4.0	0
2	flange	4	0	11.0	0
2	flange	4	0	22.0	0
2	flange	4	0	21.0	0
2	flange	4	0	17.0	0
2	flange	4	0	17.0	0
2	flange	4	0	1.0	0
3	flange	6	0	13.0	0
3	flange	6	0	10.0	0
3	flange	6	0	3.0	0
3	flange	6	0	0.0	0
3	flange	6	0	8.0	0
3	flange	6	0	2.0	0
3	flange	6	0	6.0	0
3	flange	6	0	2.0	0
3	flange	6	0	4.0	0
3	flange	6	0	12.0	0
3	flange	6	0	9.0	0
3	flange	6	0	12.0	0
3	flange	6	0	14.0	0
3	flange	6	0	2.0	0
3	flange	6	0	12.0	0
3	flange	6	0	9.0	0
3	flange	6	0	19.0	0
3	flange	6	0	0.0	0
3	flange	6	0	6.0	0
3	flange	6	0	5.0	0
3	flange	6	0	13.0	0
3	flange	6	0	25.0	0
3	flange	6	0	27.0	0
3	flange	6	0	33.0	0
3	flange	6	0	18.0	0
3	flange	6	0	1.0	0
3	flange	6	0	4.0	0
3	flange	6	0	4.0	0
3	flange	6	0	27.0	0
3	flange	6	0	8.0	0
3	flange	6	0	7.0	0
3	flange	6	0	11.0	0
3	flange	6	0	4.0	0
3	flange	6	0	29.0	0
3	flange	6	0	29.0	0
3	flange	6	0	32.0	0
3	flange	6	0	10.0	0
3	flange	6	0	3.0	0
3	flange	6	0	6.0	0
3	flange	6	0	10.0	0
3	flange	6	0	40.0	0
3	flange	6	0	12.0	0
3	flange	6	0	45.0	0
3	flange	6	0	0.0	0
3	flange	6	0	26.0	0
3	flange	6	0	14.0	0
3	flange	6	0	15.0	0
3	flange	6	0	9.0	0
3	flange	6	0	13.0	0
3	flange	6	0	22.0	0
3	flange	6	0	21.0	0
3	flange	6	0	19.0	0
3	flange	6	0	8.0	0
3	flange	6	0	30.0	0
3	flange	6	0	6.0	0
3	flange	6	0	24.0	0
3	flange	6	0	20.0	0
3	flange	6	0	13.0	0
3	flange	6	0	28.0	0
3	flange	6	0	14.0	0
3	flange	6	0	8.0	0
3	flange	6	0	20.0	0
3	flange	6	0	15.0	0
3	flange	6	0	12.0	0
3	flange	6	0	13.0	0
3	flange	6	0	14.0	0
3	flange	6	0	4.0	0
3	flange	6	0	1.0	0
3	flange	6	0	6.0	0
3	flange	6	0	17.0	0
3	flange	6	0	25.0	0
3	flange	6	0	1.0	0
3	flange	6	0	6.0	0
3	flange	6	0	24.0	0
3	flange	6	0	24.0	0
3	flange	6	0	22.0	0
3	flange	6	0	40.0	0
3	flange	6	0	38.0	0
3	flange	6	0	8.0	0
3	flange	6	0	29.0	0
3	flange	6	0	15.0	0
3	flange	6	0	2.0	0
3	flange	6	0	35.0	0
3	flange	6	0	39.0	0
3	flange	6	0	12.0	0
3	flange	6	0	12.0	0
3	flange	6	0	15.0	0
3	flange	6	0	6.0	0
3	flange	6	0	4.0	0
3	flange	6	0	4.0	0
3	flange	6	0	11.0	0
3	flange	6	0	15.0	0
3	flange	6	0	6.0	0
3	flange	6	0	30.0	0
3	flange	6	0	62.0	0
3	flange	6	0	42.0	0
3	flange	6	0	37.0	0
3	flange	6	0	7.0	0
3	flange	6	0	5.0	0
3	flange	6	0	27.0	0
3	flange	6	0	1.0	0
3	flange	6	0	57.0	0
3	flange	6	0	42.0	0
3	flange	6	0	55.0	0
3	flange	6	0	20.0	0
3	flange	6	0	11.0	0
3	flange	6	0	51.0	0
3	flange	6	0	24.0	0
3	flange	6	0	46.0	0
3	flange	6	0	40.0	0
3	flange	6	0	39.0	0
3	flange	6	0	7.0	0
3	flange	6	0	34.0	0
3	flange	6	0	70.0	0
3	flange	6	0	33.0	0
3	flange	6	0	47.0	0
4	flange	8	0	8.0	0
4	flange	8	0	10.0	0
4	flange	8	0	30.0	0
4	flange	8	0	28.0	0
4	flange	8	0	22.0	0
4	flange	8	0	46.0	0
4	flange	8	0	13.0	0
4	flange	8	0	56.0	0
4	flange	8	0	0.0	0
4	flange	8	0	28.0	0
4	flange	8	0	123.0	0
4	flange	8	0	124.0	0
4	flange	8	0	38.0	0
4	flange	8	0	17.0	0
4	flange	8	0	24.0	0
4	flange	8	0	38.0	0
4	flange	8	0	7.0	0
4	flange	8	0	14.0	0
4	flange	8	0	2.0	0
4	flange	8	0	9.0	0
4	flange	8	0	1.0	0
4	flange	8	0	28.0	0
4	flange	8	0	38.0	0
4	flange	8	0	30.0	0
4	flange	8	0	14.0	0
4	flange	8	0	47.0	0
4	flange	8	0	40.0	0
4	flange	8	0	16.0	0
4	flange	8	0	0.0	0
4	flange	8	0	17.0	0
4	flange	8	0	7.0	0
4	flange	8	0	23.0	0
4	flange	8	0	11.0	0
4	flange	8	0	1.0	0
4	flange	8	0	13.0	0
4	flange	8	0	36.0	0
4	flange	8	0	15.0	0
4	flange	8	0	8.0	0
4	flange	8	0	37.0	0
4	flange	8	0	15.0	0
4	flange	8	0	1.0	0
4	flange	8	0	31.0	0
4	flange	8	0	61.0	0
4	flange	8	0	81.0	0
4	flange	8	0	40.0	0
4	flange	8	0	32.0	0
4	flange	8	0	19.0	0
4	flange	8	0	13.0	0
4	flange	8	0	30.0	0
4	flange	8	0	5.0	0
4	flange	8	0	37.0	0
4	flange	8	0	10.0	0
4	flange	8	0	21.0	0
4	flange	8	0	37.0	0
4	flange	8	0	10.0	0
4	flange	8	0	18.0	0
4	flange	8	0	3.0	0
4	flange	8	0	16.0	0
4	flange	8	0	22.0	0
4	flange	8	0	60.0	0
4	flange	8	0	45.0	0
4	flange	8	0	16.0	0
4	flange	8	0	19.0	0
4	flange	8	0	8.0	0
4	flange	8	0	11.0	0
4	flange	8	0	35.0	0
4	flange	8	0	16.0	0
4	flange	8	0	27.0	0
4	flange	8	0	2.0	0
4	flange	8	0	4.0	0
4	flange	8	0	56.0	0
4	flange	8	0	3.0	0
4	flange	8	0	96.0	0
4	flange	8	0	39.0	0
4	flange	8	0	11.0	0
4	flange	8	0	23.0	0
4	flange	8	0	24.0	0
4	flange	8	0	38.0	0
4	flange	8	0	18.0	0
4	flange	8	0	59.0	0
4	flange	8	0	19.0	0
4	flange	8	0	16.0	0
4	flange	8	0	6.0	0
4	flange	8	0	16.0	0
4	flange	8	0	21.0	0
4	flange	8	0	8.0	0
4	flange	8	0	2.0	0
4	flange	8	0	19.0	0
4	flange	8	0	16.0	0
4	flange	8	0	12.0	0
4	flange	8	0	6.0	0
4	flange	8	0	11.0	0
4	flange	8	0	4.0	0
4	flange	8	0	5.0	0
